Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
I. R. Timlin | architect,I. R. Timlin,architect,person,,,,,,,,,
E. Stanley Field,E. Stanley Field,contributor,person,,,,,,,,,
J. W. Northrop,J. W. Northrop,contributor,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Joseph Finger | architect,Joseph Finger,architect,person,,,,,,,,,
Finger and Cato | architectural firm,Finger and Cato,architectural firm,coorporate,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
C. D. Hill and Co. | architectural firm,C. D. Hill and Co.,architectural firm,coorporate,,,,,,,,,
Herbert M. Greene | architect,Herbert M. Greene,architect,person,,,,,,,,,
Herbert M. Greene and Company | architectural firm,Herbert M. Greene and Company,architectural firm,coorporate,,,,,,,,,
Howe and Lescaze | architectural firm,Howe and Lescaze,architectural firm,coorporate,,,,,,,,,
Herbert M. Greene and Company | architectural firm,Herbert M. Greene and Company,architectural firm,coorporate,,,,,,,,,
Field and Clarkson | architectural firm,Field and Clarkson,architectural firm,coorporate,,,,,,,,,
H. L. Page and Brothers | architectural firm,H. L. Page and Brothers,architectural firm,coorporate,,,,,,,,,
Finger and Cato | architectural firm,Finger and Cato,architectural firm,coorporate,,,,,,,,,
Marshall and Fox | architectural firm,Marshall and Fox,architectural firm,coorporate,,,,,,,,,
C. H. Page and Brothers | architectural firm,C. H. Page and Brothers,architectural firm,coorporate,,,,,,,,,
Endress and Watkin | architectural firm,Endress and Watkin,architectural firm,coorporate,,,,,,,,,
C. H. Page and Brother | architectural firm,C. H. Page and Brother,architectural firm,coorporate,,,,,,,,,
Herbert M. Greene | architect,Herbert M. Greene,architect,person,,,,,,,,,
E. Stanley Field,E. Stanley Field,contributor,person,,,,,,,,,
Lang and Witchell | architectural firm,Lang and Witchell,architectural firm,coorporate,,,,,,,,,
Clarkson and Gaines | architectural firm,Clarkson and Gaines,architectural firm,coorporate,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Clarkson and Gaines | architectural firm,Clarkson and Gaines,architectural firm,coorporate,,,,,,,,,
Alfred C. Finn | architect,Alfred C. Finn,architect,person,,,,,,,,,
Atlanta Terra Cotta Co. | terra cotta producer,Atlanta Terra Cotta Co.,terra cotta producer,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
T. Lamb,T. Lamb,contributor,person,,,,,,,,,
Lyman and Place,Lyman and Place,contributor,coorporate,,,,,,,,,
Atlantic Terra Cotta Company; A. B. Withers | architect,Atlantic Terra Cotta Company,contributor,coorporate,A. B. Withers,architect,person,,,,,,
Trost and Trost | architectural firm,Trost and Trost,architectural firm,coorporate,,,,,,,,,
C. D. Hill and Co. | architectural firm,C. D. Hill and Co.,architectural firm,coorporate,,,,,,,,,
Field and Clarkson | architectural firm,Field and Clarkson,architectural firm,coorporate,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
"Ford, Powell & Carson","Ford, Powell & Carson",contributor,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
James Riely Gordon,James Riely Gordon,contributor,person,,,,,,,,,
"Leffland, Jules Carl (1854-1924)","Leffland, Jules Carl",contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
James R. Franklin | designer,James R. Franklin,designer,person,,,,,,,,,
Fisher and Spillman Architects Inc.,Fisher and Spillman Architects Inc.,contributor,coorporate,,,,,,,,,
Voelcker and Dixon,Voelcker and Dixon,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Arthur E. Thomas,Arthur E. Thomas,contributor,person,,,,,,,,,
Page Brothers | architectural firm,Page Brothers,architectural firm,person,,,,,,,,,
Morrison and Carter | landscape architects,Morrison and Carter,landscape architects,coorporate,,,,,,,,,
,nan,contributor,person,,,,,,,,,
Paul Philippe Cret,Paul Philippe Cret,contributor,person,,,,,,,,,
Edwin Kreisle,Edwin Kreisle,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Lawrence Speck Associates,Lawrence Speck Associates,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
George L. Dahl | architect,George L. Dahl,architect,person,,,,,,,,,
"Coburn, Smith, and Evans Architects Dallas","Coburn, Smith, and Evans Architects Dallas",contributor,coorporate,,,,,,,,,
George L. Dahl Architects and Engineers | architectural firm,George L. Dahl Architects and Engineers,architectural firm,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
George L. Dahl Architects and Engineers | architectural firm,George L. Dahl Architects and Engineers,architectural firm,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects & engineers,Herbert M. Greene Company,architects & engineers,coorporate,,,,,,,,,
LaRoche and Dahl,LaRoche and Dahl,contributor,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
George L. Dahl | Centennial architect,George L. Dahl,Centennial architect,person,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Herbert M. Greene Company | university architects,Herbert M. Greene Company,university architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects and structural engineers,Herbert M. Greene Company,architects and structural engineers,coorporate,,,,,,,,,
Hare and Hare | landscape architects and city planners,Hare and Hare,landscape architects and city planners,coorporate,,,,,,,,,
George L. Dahl | Exposition architect,George L. Dahl,Exposition architect,person,,,,,,,,,
General Motors Sales Corporation. Frigidaire Division.,General Motors Sales Corporation. Frigidaire Division.,contributor,coorporate,,,,,,,,,
George L. Dahl | Centennial architect,George L. Dahl,Centennial architect,person,,,,,,,,,
George L. Dahl | architect,George L. Dahl,architect,person,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
Herbert B. Beidler | architect,Herbert B. Beidler,architect,person,,,,,,,,,
George L. Dahl | architect,George L. Dahl,architect,person,,,,,,,,,
LaRoche and Dahl,LaRoche and Dahl,contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
LaRoche and Dahl,LaRoche and Dahl,contributor,coorporate,,,,,,,,,
George L. Dahl Architects and Engineers | architectural firm,George L. Dahl Architects and Engineers,architectural firm,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
George L. Dahl | architect and engineer,George L. Dahl,architect and engineer,person,,,,,,,,,
Hubbell and Greene | architects,Hubbell and Greene,architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
"George Miles Company, Winsted Connecticut","George Miles Company, Winsted Connecticut",contributor,coorporate,,,,,,,,,
LaRoche and Dahl,LaRoche and Dahl,contributor,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl","Herbert M. Greene, LaRoche, and Dahl",contributor,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
George L. Dahl | architect,George L. Dahl,architect,person,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Herbert M. Greene Company | architects,Herbert M. Greene Company,architects,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
George L. Dahl | Centennial architect,George L. Dahl,Centennial architect,person,,,,,,,,,
La Roche and Dahl | architects,La Roche and Dahl,architects,coorporate,,,,,,,,,
Hare and Hare | landscape architects and city planners,Hare and Hare,landscape architects and city planners,coorporate,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,
Herbert M. Greene LaRoche & Dahl | architects,Herbert M. Greene LaRoche & Dahl,architects,coorporate,,,,,,,,,
Office of the Supervising Architect,Office of the Supervising Architect,contributor,coorporate,,,,,,,,,
Thomas Booziotis and Associates,Thomas Booziotis and Associates,contributor,coorporate,,,,,,,,,
Jessen Architects and Planners,Jessen Architects and Planners,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles E. Gillette | landscape architect,Charles E. Gillette,landscape architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"National Parks Service. Historic Preservation Team, Denver","National Parks Service. Historic Preservation Team, Denver",contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Eugene George,Eugene George,contributor,person,,,,,,,,,
Charles E. Gillette | landscape architect,Charles E. Gillette,landscape architect,person,,,,,,,,,
Eugene George,Eugene George,contributor,person,,,,,,,,,
Inico Triggs,Inico Triggs,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
Eugene George | architect,Eugene George,architect,person,,,,,,,,,
"Pendley, George and Bowman | architects","Pendley, George and Bowman",architects,coorporate,,,,,,,,,
"Eugene George, Jr. | architect","Eugene George, Jr.",architect,person,,,,,,,,,
Eugene George | architect,Eugene George,architect,person,,,,,,,,,
"Eugene George, Jr. | architect","Eugene George, Jr.",architect,person,,,,,,,,,
Eugene George | architect,Eugene George,architect,person,,,,,,,,,
Eugene George,Eugene George,contributor,person,,,,,,,,,
"Pendley, George and Bowman | architects","Pendley, George and Bowman",architects,coorporate,,,,,,,,,
Sam Bates and Eugene George,Sam Bates and Eugene George,contributor,coorporate,,,,,,,,,
Wiltshire and Fisher | architectural firm,Wiltshire and Fisher,architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Pendley and George | architects,Pendley and George,architects,coorporate,,,,,,,,,
Eugene George | architect,Eugene George,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Eugene George | architect,Eugene George,architect,person,,,,,,,,,
Harwell Hamilton Harris | architect,Harwell Hamilton Harris,architect,person,,,,,,,,,
"Eugene George, Jr. | architect","Eugene George, Jr.",architect,person,,,,,,,,,
Page Southerland Page | architects engineers consultants,Page Southerland Page,architects engineers consultants,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Alfred Giles,Alfred Giles,contributor,person,,,,,,,,,
Alfred Giles; Guindon Architects,Alfred Giles,contributor,person,Guindon Architects,contributor,coorporate,,,,,,
Arnold Dunbar Smith and Cecil Claude Brewer,Arnold Dunbar Smith and Cecil Claude Brewer,contributor,coorporate,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)","Dielmann, Leo M.J.",contributor,person,,,,,,,,,
"Gideon, Samuel E.","Gideon, Samuel E.",contributor,person,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)","Dielmann, Leo M.J.",contributor,person,,,,,,,,,
"Gutierrez, Smouse, Wilmut and Assoc., Inc.","Gutierrez, Smouse, Wilmut and Assoc., Inc.",contributor,coorporate,,,,,,,,,
SOA Student Measured Drawings,SOA Student Measured Drawings,contributor,person,,,,,,,,,
O?Neil Ford,O?Neil Ford,contributor,person,,,,,,,,,
Shirley Simons,Shirley Simons,contributor,person,,,,,,,,,
"Parkinson, John","Parkinson, John",contributor,person,,,,,,,,,
Walter T. Rolfe,Walter T. Rolfe,contributor,person,,,,,,,,,
Elmer G. Withers | architect,Elmer G. Withers,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Cass Gilbert,Cass Gilbert,contributor,person,,,,,,,,,
Herbert M. Greene,Herbert M. Greene,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
John Staub,John Staub,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
DeWitt and Swank | architects,DeWitt and Swank,architects,coorporate,,,,,,,,,
Ford and Swank | architects,Ford and Swank,architects,coorporate,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
O?Neil Ford | architect; A. B. Swank | architect,O?Neil Ford,architect,person,A. B. Swank,architect,person,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
A. B. Swank Associates | architectural firm,A. B. Swank Associates,architectural firm,coorporate,,,,,,,,,
DeWitt and Swank | architects,DeWitt and Swank,architects,coorporate,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
O?Neil Ford | architect; A. B. Swank | architect,O?Neil Ford,architect,person,A. B. Swank,architect,person,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
E. G. Hamilton,E. G. Hamilton,contributor,person,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
O?Neil Ford; A. B. Swank,O?Neil Ford,contributor,person,A. B. Swank,contributor,person,,,,,,
DeWitt and Swank | architects,DeWitt and Swank,architects,coorporate,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
DeWitt and Swank | architects,DeWitt and Swank,architects,coorporate,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
A. B. Swank Associates,A. B. Swank Associates,contributor,coorporate,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
O?Neil Ford | architect; R. S. Colley | architect; A. B. Swank | architect; S. B. Zisman | architect,O?Neil Ford,architect,person,R. S. Colley,architect,person,A. B. Swank,architect,person,S. B. Zisman,architect,person
Swank,Swank,contributor,person,,,,,,,,,
A. B. Swank Associates,A. B. Swank Associates,contributor,coorporate,,,,,,,,,
J. P. Moore Associate,J. P. Moore Associate,contributor,person,,,,,,,,,
Swank,Swank,contributor,person,,,,,,,,,
